gages,link,lat,lon
02GB001,41002322,43.11105728149414,-80.25045013427734
02GB007,41002253,43.15016555786133,-80.16218566894531
02GC002,41003721,42.77421951293945,-81.20606231689453
02GC007,41003952,42.6871452331543,-80.5417251586914
02GC018,41003785,42.74721908569336,-81.0578842163086
02GC026,41003940,42.706668853759766,-80.83147430419922
02GE007,41004658,42.386295318603516,-82.10289764404297
02GG003,41004257,42.64455795288086,-82.01483154296875
02GG009,41003773,42.80685806274414,-82.31175994873047
02GG013,41003878,42.76836013793945,-82.25061798095703
04159900,13194046,43.057193756103516,-82.741546630859375
04160600,13195602,42.90092849731445,-82.767333984375
04165500,13183066,42.59354782104492,-82.907745361328125
04166500,10850144,42.37386703491211,-83.24778747558594
04174500,13176035,42.286460876464844,-83.73844146728516
04176500,13229606,41.96038055419922,-83.53157043457031
04177000,13167914,41.66841125488281,-83.593505859375
04193500,15634673,41.50059127807617,-83.71378326416016
04195820,15628121,41.4914436340332,-83.22142791748047
04198000,15612718,41.309322357177734,-83.15771484375
04199000,15605384,41.3012809753418,-82.61083984375
04199500,15605376,41.37890625,-82.31473541259766
04200500,15597503,41.38217544555664,-82.09992218017578
04208504,15588544,41.466529846191406,-81.67181396484375
04209000,28123621,41.63834762573242,-81.40260314941406
04212100,9848335,41.721900939941406,-81.23636627197266
04213000,9841738,41.926761627197266,-80.60565185546875
04213500,15582369,42.45554733276367,-78.92132568359375
04214500,15576299,42.85478973388672,-78.75553894042969
04215000,15574737,42.889556884765625,-78.65478515625
04215500,15576309,42.829429626464844,-78.77535247802734
